@RELATION Models/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Voice,Noise}

@DATA
0.010686,0.004567,2.886592,0.082947,0.171610,0.025967,0.021447,0.013926,-30.865892,3.461508,0.429649,0.471601,0.042420,0.336426,0.130576,0.214429,0.014507,0.087952,0.037130,-0.018741,0.078186,0.015781,0.002182,0.082447,0.008928,0.032906,0.005627,0.105806,0.001835,0.004894,0.010243,0.052572,0.002721,0.053054,0.006830,0.006675,0.387878,0.035948,0.051122,0.046549,0.019286,0.010127,3.983118,0.799609,0.749050,0.356706,0.442558,0.294394,0.322717,0.255595,0.290051,0.213187,0.217792,0.199471,0.195474,0.027100,0.006047,0.066120,0.017720,0.035063,0.011320,0.113634,0.005941,0.010243,0.014858,0.053520,0.006905,0.023483,Voice
0.054332,0.004074,3.004717,0.144263,0.211773,0.245244,0.018528,0.065470,-29.713105,2.977241,-0.181338,0.123261,-0.231989,0.027409,-0.140726,-0.030579,-0.177907,-0.182971,-0.169784,-0.140178,0.034628,0.032512,0.005988,0.037463,0.027971,0.029862,0.019122,0.035245,0.001955,0.007372,0.016428,0.020872,0.006078,0.032925,0.051616,0.005832,0.420941,0.076174,0.050716,0.370832,0.017470,0.086982,2.664661,0.853260,0.686526,0.470330,0.392342,0.355804,0.314596,0.313266,0.327137,0.322186,0.353841,0.341571,0.315440,0.039591,0.013222,0.040717,0.042843,0.039541,0.034207,0.037304,0.005022,0.013304,0.022451,0.026812,0.011810,0.015170,Voice
0.027338,0.031109,3.116051,0.079827,0.149154,0.029393,0.012644,0.039277,-25.131783,2.728436,-1.254744,0.395428,-0.566466,-0.294027,0.101278,0.207881,-0.195764,-0.151505,-0.165616,-0.120803,-0.002549,0.019596,0.013058,0.028918,0.023996,0.022499,0.017421,0.044080,0.005203,0.012894,0.007073,0.015438,0.006661,0.027215,0.009120,0.032967,0.209584,0.023191,0.035454,0.036245,0.008220,0.014334,2.123937,0.716612,0.657192,0.481595,0.452682,0.390098,0.421572,0.311112,0.308526,0.254783,0.248675,0.246641,0.229739,0.025402,0.020869,0.027419,0.028234,0.027686,0.027426,0.057448,0.010435,0.023255,0.010366,0.020660,0.010420,0.015825,Voice
0.029327,0.010270,2.931142,0.124342,0.207699,0.092092,0.016490,0.018521,-29.507923,3.736384,0.242358,0.320228,0.141830,0.195328,0.153375,-0.042037,-0.220832,0.058726,0.011562,-0.009039,0.029103,0.039188,0.001563,0.066227,0.017896,0.040178,0.009193,0.060481,0.002016,0.005883,0.010419,0.037864,0.002647,0.040351,0.024029,0.014922,0.390877,0.067814,0.056709,0.127832,0.014845,0.011378,3.114077,0.817209,0.594305,0.359358,0.356035,0.290032,0.278768,0.238506,0.267656,0.202397,0.189617,0.180278,0.180306,0.053376,0.002711,0.051669,0.025640,0.037893,0.014335,0.064091,0.005508,0.009543,0.011948,0.040683,0.005074,0.013596,Voice
0.029246,0.009245,2.932738,0.102015,0.179972,0.095931,0.021035,0.033009,-28.874431,3.219557,-0.195000,0.201918,-0.332822,0.105645,-0.079154,-0.011010,-0.084056,-0.118138,-0.134393,-0.075537,-0.007930,0.025387,0.006071,0.042147,0.021019,0.032273,0.015606,0.043775,0.002108,0.008675,0.018437,0.028110,0.006212,0.032972,0.024538,0.010949,0.477578,0.053079,0.055397,0.197740,0.017631,0.034318,3.286441,0.895254,0.772974,0.461856,0.421532,0.376941,0.355109,0.323657,0.307681,0.305636,0.319873,0.323673,0.312168,0.034115,0.012419,0.043561,0.032408,0.039710,0.027970,0.050118,0.005714,0.015945,0.023765,0.033964,0.012118,0.014349,Voice
0.017444,0.017715,2.968530,0.079978,0.155042,0.090410,0.020247,0.026501,-27.674171,3.057455,0.390290,0.331506,-0.258300,0.317288,0.018642,0.137373,-0.051190,-0.009221,-0.083559,-0.017306,0.032347,0.026987,0.003856,0.031228,0.013062,0.030159,0.009447,0.121556,0.000906,0.004267,0.020174,0.020866,0.003589,0.047603,0.014944,0.019428,0.348028,0.032051,0.044485,0.174657,0.016928,0.028271,3.249725,1.006799,0.655131,0.412092,0.419225,0.347442,0.338948,0.268302,0.307780,0.238145,0.234634,0.214891,0.209150,0.031463,0.009042,0.034278,0.022616,0.037330,0.016060,0.123950,0.002715,0.008258,0.025187,0.029875,0.006901,0.028524,Voice
0.020716,0.010950,3.019885,0.083897,0.163054,0.035509,0.020705,0.027794,-27.917975,3.145723,-0.534725,0.296656,-0.242286,0.052817,-0.101843,-0.025138,-0.125201,-0.089766,-0.112896,-0.057483,0.014983,0.022604,0.005900,0.044285,0.022875,0.028165,0.017577,0.059091,0.002832,0.008952,0.013667,0.030760,0.005776,0.037352,0.008877,0.012106,0.351518,0.032590,0.046867,0.046206,0.016811,0.012892,2.747367,0.782975,0.730131,0.491120,0.386021,0.363636,0.345596,0.362030,0.329679,0.334031,0.345215,0.343462,0.307431,0.030646,0.012028,0.044405,0.036636,0.038486,0.031936,0.071955,0.007554,0.015783,0.020000,0.033930,0.011111,0.017308,Voice
0.065823,0.006132,2.980781,0.203955,0.253370,0.286255,0.013137,0.090695,-29.962615,2.926322,0.234814,0.279131,-0.361772,0.129619,0.070641,0.034937,0.003862,-0.073389,-0.108414,0.053263,-0.051597,0.017762,0.004103,0.033498,0.016850,0.026349,0.012445,0.103718,0.001569,0.006030,0.031895,0.020485,0.005787,0.044618,0.062467,0.010147,0.375432,0.121444,0.064217,0.383424,0.012877,0.157764,3.534041,1.011174,0.719118,0.446072,0.467260,0.322485,0.335393,0.268219,0.309211,0.242399,0.224955,0.207331,0.214718,0.029722,0.009016,0.038141,0.029345,0.035489,0.022454,0.129270,0.004935,0.009955,0.034649,0.029436,0.012013,0.028889,Voice
0.020421,0.013573,2.928204,0.090570,0.172762,0.056021,0.021813,0.026683,-28.801819,3.112588,-0.250933,0.203752,-0.300354,0.012538,-0.103984,-0.038314,-0.131734,-0.126185,-0.109972,-0.040502,-0.012832,0.017428,0.005362,0.048209,0.024809,0.032440,0.017884,0.062127,0.002362,0.008638,0.014212,0.033849,0.004920,0.039227,0.012586,0.018444,0.466771,0.033714,0.049034,0.112284,0.018546,0.022017,3.678894,0.871855,0.806428,0.535952,0.405908,0.378044,0.347945,0.340249,0.326970,0.321585,0.350035,0.352293,0.316139,0.029620,0.011144,0.050630,0.039031,0.042140,0.032687,0.076825,0.006572,0.016670,0.021443,0.041446,0.010629,0.018521,Voice
0.018791,0.008918,2.988407,0.086320,0.161153,0.087405,0.022857,0.027091,-28.896666,2.824950,0.006450,0.357533,-0.228932,-0.050293,-0.070955,-0.007139,-0.111855,-0.079833,-0.159155,-0.063327,-0.032248,0.028239,0.004201,0.057353,0.019754,0.020048,0.012981,0.117796,0.001347,0.005983,0.012686,0.018725,0.004464,0.052147,0.015507,0.011333,0.345145,0.033264,0.044609,0.155830,0.023564,0.028493,3.406151,0.912699,0.727979,0.475932,0.405647,0.356663,0.341593,0.299492,0.298760,0.283306,0.294578,0.300276,0.291111,0.039886,0.009510,0.066476,0.034568,0.031245,0.024324,0.126519,0.003514,0.011773,0.019170,0.027366,0.008781,0.030487,Voice
